CI_Name,CI_Cat,CI_Subcat,Incident_ID,Impact,Urgency,Priority,Category,No_of_Related_Incidents
SUB000508,subapplication,Web Based Application,IM0000004,4,4,4.0,incident,2.0
WBA000124,application,Web Based Application,IM0000005,3,3,3.0,incident,1.0
DTA000024,application,Desktop Application,IM0000006,NS,3,,request for information,
WBA000124,application,Web Based Application,IM0000011,4,4,4.0,incident,
WBA000124,application,Web Based Application,IM0000012,4,4,4.0,incident,
WBA000124,application,Web Based Application,IM0000013,4,4,4.0,incident,
WBA000082,application,Web Based Application,IM0000014,4,4,4.0,incident,
WBA000124,application,Web Based Application,IM0000015,4,4,4.0,incident,
WBA000124,application,Web Based Application,IM0000017,NS,3,,incident,
WBA000082,application,Web Based Application,IM0000018,4,4,4.0,incident,
WBA000124,application,Web Based Application,IM0000019,4,4,4.0,incident,
WBA000124,application,Web Based Application,IM0000020,4,4,4.0,incident,
WBA000082,application,Web Based Application,IM0000021,4,4,4.0,incident,
WBA000124,application,Web Based Application,IM0000022,4,4,4.0,incident,2.0
SBA000698,application,Server Based Application,IM0000023,3,3,3.0,incident,
WBA000082,application,Web Based Application,IM0000024,4,4,4.0,incident,2.0
SUB000539,subapplication,Web Based Application,IM0000028,4,4,4.0,incident,
SUB000535,subapplication,Web Based Application,IM0000031,4,4,4.0,incident,
DTA000616,application,Desktop Application,IM0000033,3,3,3.0,incident,
WBA000082,application,Web Based Application,IM0000034,5,5,5.0,incident,
WBA000124,application,Web Based Application,IM0000035,4,4,4.0,incident,2.0
WBA000116,application,Web Based Application,IM0000038,4,4,4.0,incident,1.0
WBA000124,application,Web Based Application,IM0000041,4,4,4.0,incident,
WBA000124,application,Web Based Application,IM0000042,4,4,4.0,incident,
SUB000535,subapplication,Web Based Application,IM0000045,4,4,4.0,incident,
SUB000535,subapplication,Web Based Application,IM0000046,4,4,4.0,incident,1.0
WBA000082,application,Web Based Application,IM0000047,4,4,4.0,incident,
SBA000662,application,Server Based Application,IM0000048,5,5,5.0,request for information,
SBA000607,application,Server Based Application,IM0000049,5,5,5.0,request for information,
SBA000263,application,Server Based Application,IM0000053,5,5,5.0,request for information,
WBA000124,application,Web Based Application,IM0000055,4,4,4.0,incident,
WBA000124,application,Web Based Application,IM0000056,4,4,4.0,incident,
SUB000433,subapplication,Web Based Application,IM0000057,4,4,4.0,incident,
WBA000124,application,Web Based Application,IM0000058,4,4,4.0,incident,
WBA000124,application,Web Based Application,IM0000059,4,4,4.0,incident,
WBA000133,application,Web Based Application,IM0000060,4,4,4.0,incident,
SUB000431,subapplication,Web Based Application,IM0000061,5,5,5.0,request for information,
SUB000508,subapplication,Web Based Application,IM0000062,4,4,4.0,incident,
WBA000124,application,Web Based Application,IM0000064,3,3,3.0,incident,
