index,CI_Name,CI_Cat,CI_Subcat,Incident_ID,Impact,Urgency,Priority,Category,No_of_Related_Incidents,Incident_Digits,Incident_IM
0,2741,12,58,IM0000004,4,4,4,1,2,0000004,0
1,2863,2,58,IM0000005,3,3,3,1,1,0000005,0
2,990,2,10,IM0000006,3,3,3,3,0,0000006,0
3,2863,2,58,IM0000011,4,4,4,1,0,0000011,0
4,2863,2,58,IM0000012,4,4,4,1,0,0000012,0
5,2863,2,58,IM0000013,4,4,4,1,0,0000013,0
6,2841,2,58,IM0000014,4,4,4,1,0,0000014,0
7,2863,2,58,IM0000015,4,4,4,1,0,0000015,0
8,2863,2,58,IM0000017,4,3,4,1,0,0000017,0
9,2841,2,58,IM0000018,4,4,4,1,0,0000018,0
10,2863,2,58,IM0000019,4,4,4,1,0,0000019,0
11,2863,2,58,IM0000020,4,4,4,1,0,0000020,0
12,2841,2,58,IM0000021,4,4,4,1,0,0000021,0
13,2863,2,58,IM0000022,4,4,4,1,2,0000022,0
14,2532,2,46,IM0000023,3,3,3,1,0,0000023,0
15,2841,2,58,IM0000024,4,4,4,1,2,0000024,0
16,2755,12,58,IM0000028,4,4,4,1,0,0000028,0
17,2751,12,58,IM0000031,4,4,4,1,0,0000031,0
18,1050,2,10,IM0000033,3,3,3,1,0,0000033,0
19,2841,2,58,IM0000034,5,5,5,1,0,0000034,0
20,2863,2,58,IM0000035,4,4,4,1,2,0000035,0
21,2857,2,58,IM0000038,4,4,4,1,1,0000038,0
22,2863,2,58,IM0000041,4,4,4,1,0,0000041,0
23,2863,2,58,IM0000042,4,4,4,1,0,0000042,0
24,2751,12,58,IM0000045,4,4,4,1,0,0000045,0
25,2751,12,58,IM0000046,4,4,4,1,1,0000046,0
26,2841,2,58,IM0000047,4,4,4,1,0,0000047,0
27,2514,2,46,IM0000048,5,5,5,3,0,0000048,0
28,2487,2,46,IM0000049,5,5,5,3,0,0000049,0
29,2376,2,46,IM0000053,5,5,5,3,0,0000053,0
30,2863,2,58,IM0000055,4,4,4,1,0,0000055,0
31,2863,2,58,IM0000056,4,4,4,1,0,0000056,0
32,2714,12,58,IM0000057,4,4,4,1,0,0000057,0
33,2863,2,58,IM0000058,4,4,4,1,0,0000058,0
34,2863,2,58,IM0000059,4,4,4,1,0,0000059,0
35,2869,2,58,IM0000060,4,4,4,1,0,0000060,0
36,2713,12,58,IM0000061,5,5,5,3,0,0000061,0
37,2741,12,58,IM0000062,4,4,4,1,0,0000062,0
38,2863,2,58,IM0000064,3,3,3,1,0,0000064,0
39,2397,2,46,IM0000067,5,5,5,1,0,0000067,0
40,2741,12,58,IM0000068,4,4,4,1,0,0000068,0
41,2863,2,58,IM0000071,4,4,4,1,0,0000071,0
42,2269,2,43,IM0000073,5,5,5,3,0,0000073,0
43,2741,12,58,IM0000074,3,3,3,1,1,0000074,0
44,2725,12,58,IM0000075,4,4,4,1,1,0000075,0
45,2268,2,43,IM0000078,5,5,5,3,0,0000078,0
46,2267,2,43,IM0000080,4,4,4,1,0,0000080,0
47,2454,2,46,IM0000081,4,3,3,1,0,0000081,0
48,2869,2,58,IM0000082,4,4,4,1,0,0000082,0
49,2863,2,58,IM0000083,4,4,4,1,0,0000083,0
50,2841,2,58,IM0000084,4,4,4,1,0,0000084,0
51,2863,2,58,IM0000085,3,4,3,1,0,0000085,0
52,2268,2,43,IM0000088,5,5,5,3,1,0000088,0
53,17,2,4,IM0000089,4,4,4,1,1,0000089,0
